ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
3120438,2.080504225566745e-11,"[(<tree.SEQ object at 0x7f689ea9c190>, 'C'), (<tree.SEQ object at 0x7f689ea924a0>, 'K'), (<tree.AND object at 0x7f689ea93bb0>, 'H'), (<tree.SEQ object at 0x7f689ea93cd0>, 'H'), (<tree.AND object at 0x7f689ea93130>, 'R')]",20,1.1,0.5,5,47,0.1,0.07949598749221053,1.4,4.25,0.42,0,4.0,0,1.169041306152582e+20,0.0,25
704084,0.005638659164539455,"[(<tree.SEQ object at 0x7f5ce1087400>, 'G'), (<tree.AND object at 0x7f5ce1087a00>, 'H'), (<tree.AND object at 0x7f5ce1086e00>, 'H'), (<tree.AND object at 0x7f5ce1087820>, 'H')]",20,1.1,0.5,5,21,0.1,0.07949598749221053,0.44,4.1,0.27,0,2.0,0,679126615403612.0,0.0,25
6072482,0.11171234612800696,"[(<tree.SEQ object at 0x7fbb0f5dbb20>, 'C'), (<tree.SEQ object at 0x7fbb0f5db5e0>, 'C')]",20,1.1,0.5,5,23,0.1,0.07949598749221053,0.44,3.65,0.18,0,2.0,0,23165053334.0,0.0,25
513421,6.757043791910107e-06,"[(<tree.SEQ object at 0x7f7b1224d540>, 'O'), (<tree.SEQ object at 0x7f7b1224cca0>, 'S')]",20,1.1,0.5,5,8,0.1,0.07949598749221053,0.07,4.05,0.24,0,1.0,0,8.696988716818968e+16,0.0,25
8292997,0.0007994000109438599,"[(<tree.SEQ object at 0x7f2358e179d0>, 'W'), (<tree.SEQ object at 0x7f2358e20130>, 'U')]",20,1.1,0.5,5,27,0.1,0.07949598749221053,0.6,3.95,0.24,0,2.0,0,15045240715796.0,0.0,25
7781683,0.0016113076121298641,"[(<tree.SEQ object at 0x7f9932a9b100>, 'K'), (<tree.SEQ object at 0x7f9932aa43a0>, 'K'), (<tree.AND object at 0x7f9932aa4580>, 'K'), (<tree.AND object at 0x7f9932a9b520>, 'E'), (<tree.AND object at 0x7f9932a9b6a0>, 'Q')]",20,1.1,0.5,5,24,0.1,0.07949598749221053,0.4,3.5999999999999996,0.33,0,3.0,0,1011454892560.0,0.0,25
2975203,0.0040291137110267375,[],20,1.1,0.5,5,6,0.1,0.07949598749221053,0.05,3.5,0.26,0,1.0,0,35324695578.0,0.0,25
4571139,1.3783082077297251e-05,"[(<tree.SEQ object at 0x7f6b3895ee60>, 'H'), (<tree.AND object at 0x7f6b3895f400>, 'H'), (<tree.AND object at 0x7f6b3895ebc0>, 'H'), (<tree.SEQ object at 0x7f6b3895ece0>, 'H')]",20,1.1,0.5,5,21,0.1,0.07949598749221053,0.33,3.8499999999999996,0.25,0,2.0,0,578731843318595.0,0.0,25
8104815,2.3875894350000387e-06,"[(<tree.AND object at 0x7f1f4775b820>, 'Q'), (<tree.AND object at 0x7f1f4775b940>, 'Q')]",20,1.1,0.5,5,24,0.1,0.07949598749221053,0.34,3.9000000000000004,0.42,0,2.5,0,1260945040941.0,0.0,25
4777161,0.0014799517894967054,"[(<tree.SEQ object at 0x7f4ecc8ca200>, 'S'), (<tree.AND object at 0x7f4ecc8ca320>, 'R')]",20,1.1,0.5,5,19,0.1,0.07949598749221053,0.2,3.95,0.22,0,1.0,0,3.0840923381496877e+19,0.0,25
6810029,0.37676599526988347,"[(<tree.SEQ object at 0x7f9ca336a200>, 'G'), (<tree.AND object at 0x7f9ca3369ea0>, 'I'), (<tree.AND object at 0x7f9ca336a620>, 'K'), (<tree.AND object at 0x7f9ca336a740>, 'K'), (<tree.SEQ object at 0x7f9ca3368ee0>, 'K'), (<tree.AND object at 0x7f9ca3369c60>, 'I'), (<tree.AND object at 0x7f9ca33696c0>, 'R')]",20,1.1,0.5,5,37,0.1,0.07949598749221053,0.65,3.95,0.35,0,2.0,0,143175837.0,0.0,25
5732788,8.237001474618941e-07,[],20,1.1,0.5,5,7,0.1,0.07949598749221053,0.06,3.9000000000000004,0.27,0,0.5,0,1.0987916834649716e+16,0.0,25
1022626,0.4723644619918017,"[(<tree.AND object at 0x7ff6c69906a0>, 'B'), (<tree.AND object at 0x7ff6c69907c0>, 'B'), (<tree.AND object at 0x7ff6c69908e0>, 'E'), (<tree.AND object at 0x7ff6c6990280>, 'W'), (<tree.SEQ object at 0x7ff6c6990d00>, 'C')]",20,1.1,0.5,5,30,0.1,0.07949598749221053,0.61,3.8499999999999996,0.32,0,2.5,0,8.852981226829907e+16,0.0,25
1129318,1.5043746013093027e-12,"[(<tree.SEQ object at 0x7f775b4d6170>, 'M'), (<tree.SEQ object at 0x7f775b4d54b0>, 'P'), (<tree.AND object at 0x7f775b4d57b0>, 'P'), (<tree.SEQ object at 0x7f775b4d54b0>, 'P'), (<tree.AND object at 0x7f775b4d5bd0>, 'Q')]",20,1.1,0.5,5,15,0.1,0.07949598749221053,0.19,3.95,0.27,0,1.0,0,7.202966723741356e+18,0.0,25
138990,3.892647300964696e-07,"[(<tree.AND object at 0x7f5ebf186f80>, 'P'), (<tree.AND object at 0x7f5ebf1864a0>, 'S'), (<tree.SEQ object at 0x7f5ebf1865c0>, 'S'), (<tree.AND object at 0x7f5ebf185d20>, 'G')]",20,1.1,0.5,5,19,0.1,0.07949598749221053,0.18,3.55,0.31,0,2.0,0,2.013458874402799e+17,0.0,25
9886057,0.026425658007321103,"[(<tree.SEQ object at 0x7fa0f222ec50>, 'C'), (<tree.SEQ object at 0x7fa0f222e170>, 'S'), (<tree.SEQ object at 0x7fa0f222e590>, 'C')]",20,1.1,0.5,5,16,0.1,0.07949598749221053,0.22,4.050000000000001,0.29,0,3.0,0,1677056334090703.0,0.0,25
2241388,0.0009586834139954761,"[(<tree.SEQ object at 0x7f60ad25a500>, 'G'), (<tree.AND object at 0x7f60ad259f60>, 'E'), (<tree.SEQ object at 0x7f60ad259780>, 'G')]",20,1.1,0.5,5,16,0.1,0.07949598749221053,0.16,4.25,0.19,0,2.0,0,2142691314471.0,0.0,25
2062427,0.00011917855774794511,"[(<tree.SEQ object at 0x7fd142369c00>, 'K'), (<tree.SEQ object at 0x7fd142369f00>, 'K'), (<tree.SEQ object at 0x7fd14236abc0>, 'H'), (<tree.AND object at 0x7fd14236a320>, 'B'), (<tree.AND object at 0x7fd14236a440>, 'E'), (<tree.AND object at 0x7fd14236a560>, 'E'), (<tree.SEQ object at 0x7fd14236a980>, 'H'), (<tree.AND object at 0x7fd14236b220>, 'K')]",20,1.1,0.5,5,17,0.1,0.07949598749221053,0.22,3.9000000000000004,0.37,0,2.0,0,41421398345942.0,0.0,25
6940534,2.381622579336349e-07,"[(<tree.SEQ object at 0x7f357491a800>, 'O')]",20,1.1,0.5,5,36,0.1,0.07949598749221053,0.93,4.2,0.3,0,2.0,0,1050554688287.0,0.0,25
4926208,5.351326997860246e-10,[],20,1.1,0.5,5,5,0.1,0.07949598749221053,0.04,4.15,0.25,0,0.0,0,3.4521263930211516e+19,0.0,25
1756592,0.00021614147146205436,"[(<tree.AND object at 0x7fc67093caf0>, 'E')]",20,1.1,0.5,5,7,0.1,0.07949598749221053,0.07,4.1,0.18,0,1.0,0,704555687035704.0,0.0,25
3477586,9.53699137760581e-10,"[(<tree.SEQ object at 0x7fc1afb14a00>, 'W')]",20,1.1,0.5,5,8,0.1,0.07949598749221053,0.07,3.45,0.25,0,1.5,0,1.1219991769234755e+20,0.0,25
9445340,4.804487063453547e-05,"[(<tree.SEQ object at 0x7fb63e94a3b0>, 'G'), (<tree.SEQ object at 0x7fb63e9495d0>, 'G'), (<tree.AND object at 0x7fb63e9498d0>, 'G'), (<tree.AND object at 0x7fb63e949e10>, 'Q')]",20,1.1,0.5,5,15,0.1,0.07949598749221053,0.13,4.300000000000001,0.28,0,1.0,0,8399339467037.0,0.0,25
7013377,0.0015508849609998819,"[(<tree.SEQ object at 0x7fa28e6cd000>, 'S')]",20,1.1,0.5,5,9,0.1,0.07949598749221053,0.09,4.25,0.28,0,1.0,0,25506304903.0,0.0,25
9889199,2.1712821312179835e-05,"[(<tree.SEQ object at 0x7f9024f7ee90>, 'U'), (<tree.SEQ object at 0x7f9024f7e6b0>, 'G'), (<tree.SEQ object at 0x7f9024f7f4f0>, 'U'), (<tree.SEQ object at 0x7f9024f7f2b0>, 'U')]",20,1.1,0.5,5,22,0.1,0.07949598749221053,0.3,3.95,0.2,0,3.0,0,165558947784.0,0.0,25
7460720,0.010285441282645512,"[(<tree.AND object at 0x7faa6318e170>, 'Q'), (<tree.AND object at 0x7faa6318e2f0>, 'S')]",20,1.1,0.5,5,17,0.1,0.07949598749221053,0.23,3.8499999999999996,0.23,0,2.0,0,2.055294695934944e+16,0.0,25
9838012,0.4775131402997516,"[(<tree.SEQ object at 0x7ff070665120>, 'M')]",20,1.1,0.5,5,8,0.1,0.07949598749221053,0.06,3.75,0.2,0,1.0,0,201768079326.0,0.0,25
4206187,8.059019158661003e-06,"[(<tree.AND object at 0x7f1b9cb25840>, 'S')]",20,1.1,0.5,5,35,0.1,0.07949598749221053,0.85,4.050000000000001,0.28,0,3.0,0,5.847466238222631e+18,0.0,25
253614,5.055875957548733e-11,"[(<tree.AND object at 0x7fad58f82320>, 'S')]",20,1.1,0.5,5,41,0.1,0.07949598749221053,0.78,3.95,0.3,0,3.0,0,7.56639181419317e+17,0.0,25
6465820,1.071646208424181e-08,"[(<tree.AND object at 0x7f74840c4bb0>, 'K')]",20,1.1,0.5,5,69,0.1,0.07949598749221053,2.48,4.2,0.31,0,4.0,0,10595106828803.0,0.0,25
1018743,0.2079997827225595,"[(<tree.SEQ object at 0x7ffabf8fd960>, 'G'), (<tree.AND object at 0x7ffabf8fce80>, 'G')]",20,1.1,0.5,5,11,0.1,0.07949598749221053,0.09,4.199999999999999,0.28,0,1.0,0,149055567.0,0.0,25
7137871,1.5032110067903752e-10,"[(<tree.AND object at 0x7f647b75b430>, 'R'), (<tree.AND object at 0x7f647b75b550>, 'R'), (<tree.SEQ object at 0x7f647b75a4a0>, 'P')]",20,1.1,0.5,5,22,0.1,0.07949598749221053,0.32,3.5999999999999996,0.26,0,2.0,0,1.5051124951056826e+17,0.0,25
4187463,0.0001561303057858866,"[(<tree.AND object at 0x7fcf09501fc0>, 'Q')]",20,1.1,0.5,5,17,0.1,0.07949598749221053,0.21,4.3,0.18,0,2.0,0,3.4529728486877144e+16,0.0,25
442783,1.4645370075382553e-12,"[(<tree.SEQ object at 0x7fc347686200>, 'S'), (<tree.SEQ object at 0x7fc3476868c0>, 'I'), (<tree.SEQ object at 0x7fc347686620>, 'I')]",20,1.1,0.5,5,18,0.1,0.07949598749221053,0.27,3.9000000000000004,0.41,0,2.0,0,2.1687928119150203e+19,0.0,25
9904704,0.5937080068882382,"[(<tree.AND object at 0x7f896e0d5ba0>, 'P'), (<tree.SEQ object at 0x7f896e0d4d60>, 'P')]",20,1.1,0.5,5,10,0.1,0.07949598749221053,0.1,3.5999999999999996,0.2,0,1.5,0,1.0086739011828662e+19,0.0,25
6050852,0.00010114128765781793,"[(<tree.AND object at 0x7fbd2ae6ee60>, 'H'), (<tree.AND object at 0x7fbd2ae6dfc0>, 'R'), (<tree.AND object at 0x7fbd2ae6e0e0>, 'R'), (<tree.SEQ object at 0x7fbd2ae6e500>, 'Y'), (<tree.AND object at 0x7fbd2ae6e6e0>, 'Y')]",20,1.1,0.5,5,17,0.1,0.07949598749221053,0.3,4.15,0.3,0,2.0,0,5253577712.0,0.0,25
9338712,0.0018303975715759807,"[(<tree.AND object at 0x7f60ccac7130>, 'S')]",20,1.1,0.5,5,23,0.1,0.07949598749221053,0.37,3.65,0.26,0,2.0,0,86226300522.0,0.0,25
7661899,0.01731093267876142,"[(<tree.SEQ object at 0x7fc434fb8460>, 'K')]",20,1.1,0.5,5,6,0.1,0.07949598749221053,0.05,4.199999999999999,0.28,0,1.0,0,7869537650728.0,0.0,25
3831664,0.997786862516718,"[(<tree.AND object at 0x7f41a5042710>, 'B'), (<tree.AND object at 0x7f41a5042830>, 'B')]",20,1.1,0.5,5,17,0.1,0.07949598749221053,0.25,4.15,0.32,0,3.5,0,1846804870382.0,0.0,25
757090,1.435749637125216e-07,"[(<tree.SEQ object at 0x7fc2dd461a50>, 'G'), (<tree.SEQ object at 0x7fc2dd4615d0>, 'U')]",20,1.2,0.5,5,52,0.1,0.07949598749221053,1.29,4.05,0.26,0,4.0,0,73050889001.0,0.0,25
6329310,5.5343510144319804e-12,"[(<tree.SEQ object at 0x7ff4d9daaad0>, 'K'), (<tree.AND object at 0x7ff4d9da97b0>, 'U'), (<tree.AND object at 0x7ff4d9da9990>, 'U')]",20,1.2,0.5,5,61,0.1,0.07949598749221053,2.17,3.9,0.32,0,3.0,0,4997243063042447.0,0.0,25
2762018,1.9405505551365878e-05,"[(<tree.SEQ object at 0x7ffbbc188a00>, 'C'), (<tree.SEQ object at 0x7ffbbc188b20>, 'I'), (<tree.AND object at 0x7ffbbc1892a0>, 'P'), (<tree.AND object at 0x7ffbbc19bb80>, 'G'), (<tree.AND object at 0x7ffbbc188340>, 'R'), (<tree.AND object at 0x7ffbbc188460>, 'R')]",20,1.2,0.5,5,31,0.1,0.07949598749221053,0.57,4.15,0.38,0,2.0,0,32920634459.0,0.0,25
6455388,1.569203973469949e-08,"[(<tree.AND object at 0x7f616bfb2ef0>, 'K'), (<tree.AND object at 0x7f616bfb3010>, 'K'), (<tree.AND object at 0x7f616bfb19f0>, 'U')]",20,1.2,0.5,5,59,0.1,0.07949598749221053,1.99,4.449999999999999,0.31,0,3.0,0,961800479132.0,0.0,25
6474788,0.20171213540050298,"[(<tree.SEQ object at 0x7f0f506cb490>, 'H'), (<tree.AND object at 0x7f0f506cafb0>, 'H'), (<tree.AND object at 0x7f0f506cb190>, 'H')]",20,1.2,0.5,5,42,0.1,0.07949598749221053,0.89,4.050000000000001,0.43,0,4.0,0,760974.0,0.0,25
6351618,0.1811953094947163,"[(<tree.SEQ object at 0x7f72e5ffcb20>, 'O')]",20,1.2,0.5,5,27,0.1,0.07949598749221053,0.59,3.9000000000000004,0.2,0,2.5,0,7906621381.0,0.0,25
4164478,3.148513338442067e-10,"[(<tree.SEQ object at 0x7f458c127f40>, 'C'), (<tree.AND object at 0x7f458c127760>, 'Q')]",20,1.2,0.5,5,49,0.1,0.07949598749221053,1.0,4.300000000000001,0.26,0,3.0,0,1.5378347498764816e+17,0.0,25
3245760,2.317424669520487e-08,"[(<tree.SEQ object at 0x7f9e99232080>, 'C')]",20,1.2,0.5,5,79,0.1,0.07949598749221053,2.43,4.25,0.33,0,3.5,0,88788480957.0,0.0,25
6095882,7.122078673756736e-05,"[(<tree.AND object at 0x7fb6491a97e0>, 'P'), (<tree.AND object at 0x7fb6491a9de0>, 'Q'), (<tree.AND object at 0x7fb6491a9f00>, 'U')]",20,1.2,0.5,5,40,0.1,0.07949598749221053,0.96,3.5,0.25,0,2.0,0,2010042560.0,0.0,25
5954588,0.02451313514098983,"[(<tree.SEQ object at 0x7f1a7d4338e0>, 'C'), (<tree.SEQ object at 0x7f1a7d431ba0>, 'K'), (<tree.SEQ object at 0x7f1a7d432560>, 'K')]",20,1.2,0.5,5,64,0.1,0.07949598749221053,1.78,4.1,0.32,0,3.0,0,10518233.0,0.0,25
9302822,0.0036301935046100567,"[(<tree.SEQ object at 0x7f4b215ec6a0>, 'K'), (<tree.AND object at 0x7f4b215e3e80>, 'I')]",20,1.2,0.5,5,26,0.1,0.07949598749221053,0.48,3.95,0.31,0,2.0,0,384618277.0,0.0,25
7237099,0.17178440233203798,"[(<tree.AND object at 0x7f03c67656c0>, 'H'), (<tree.AND object at 0x7f03c6764700>, 'R'), (<tree.AND object at 0x7f03c6764820>, 'R')]",20,1.2,0.5,5,32,0.1,0.07949598749221053,0.78,4.25,0.32,0,2.0,0,765393.0,0.0,25
2305693,0.19785470680284717,"[(<tree.SEQ object at 0x7f620e1decb0>, 'G'), (<tree.AND object at 0x7f620e1de050>, 'R')]",20,1.2,0.5,5,42,0.1,0.07949598749221053,0.94,3.55,0.3,0,3.0,0,110410.0,0.0,25
3475586,6.92101625540486e-06,"[(<tree.AND object at 0x7fa27f408850>, 'H'), (<tree.AND object at 0x7fa27f403610>, 'U')]",20,1.2,0.5,5,47,0.1,0.07949598749221053,1.23,3.8,0.3,0,3.5,0,1144625189.0,0.0,25
5825736,0.001019323360426484,"[(<tree.AND object at 0x7f20ea3fd6f0>, 'I'), (<tree.AND object at 0x7f20ea3fd090>, 'E'), (<tree.AND object at 0x7f20ea3fd210>, 'E')]",20,1.2,0.5,5,35,0.1,0.07949598749221053,0.57,3.65,0.21,0,2.0,0,8315070.0,0.0,25
7359531,1.74640856954296e-05,"[(<tree.SEQ object at 0x7f97dd417be0>, 'G'), (<tree.SEQ object at 0x7f97dd4167a0>, 'G'), (<tree.AND object at 0x7f97dd4170a0>, 'R')]",20,1.2,0.5,5,45,0.1,0.07949598749221053,1.12,4.0,0.45,0,2.5,0,249351594.0,0.0,25
2735724,5.5048406169824356e-05,[],20,1.2,0.5,5,30,0.1,0.07949598749221053,0.73,4.15,0.27,0,2.5,0,3939052116.0,0.0,25
6809786,0.10383773566818925,[],20,1.2,0.5,5,44,0.1,0.07949598749221053,1.0,4.3,0.16,0,3.0,0,180006.0,0.0,25
9975514,9.684484949061645e-06,"[(<tree.AND object at 0x7f45ffb63bb0>, 'H')]",20,1.2,0.5,5,65,0.1,0.07949598749221053,2.0,3.85,0.35,0,3.0,0,169348769.0,0.0,25
9682996,1.9368235207146543e-05,"[(<tree.SEQ object at 0x7f040f0b0490>, 'K'), (<tree.AND object at 0x7f040f0b0c70>, 'R'), (<tree.AND object at 0x7f040f0b1e70>, 'K')]",20,1.2,0.5,5,56,0.1,0.07949598749221053,1.75,4.1,0.29,0,3.0,0,581917487.0,0.0,25
5238257,2.634698953174038e-05,"[(<tree.AND object at 0x7f45342a77c0>, 'P'), (<tree.SEQ object at 0x7f45342a6620>, 'U'), (<tree.AND object at 0x7f45342a6740>, 'R')]",20,1.2,0.5,5,44,0.1,0.07949598749221053,0.92,3.8499999999999996,0.29,0,3.0,0,1159351660.0,0.0,25
403881,0.0014077410707060982,"[(<tree.AND object at 0x7f8c2dd3a260>, 'K'), (<tree.SEQ object at 0x7f8c2dd389a0>, 'U'), (<tree.AND object at 0x7f8c2dd38ac0>, 'U'), (<tree.AND object at 0x7f8c2dd39d20>, 'H'), (<tree.SEQ object at 0x7f8c2dd39f00>, 'H')]",20,1.2,0.5,5,57,0.1,0.07949598749221053,1.62,3.5999999999999996,0.47,0,3.0,0,1251140241.0,0.0,25
6166274,0.03067314387762041,"[(<tree.SEQ object at 0x7f8b84f93fd0>, 'G'), (<tree.SEQ object at 0x7f8b84f92950>, 'P'), (<tree.AND object at 0x7f8b84f93310>, 'Q')]",20,1.2,0.5,5,45,0.1,0.07949598749221053,1.14,3.9,0.27,0,2.0,0,1212132.0,0.0,25
5273395,2.113150780072329e-06,"[(<tree.AND object at 0x7f8e247e9fc0>, 'Q')]",20,1.2,0.5,5,15,0.1,0.07949598749221053,0.13,4.35,0.18,0,1.0,0,28999457576.0,0.0,25
9676685,0.01916615745891617,"[(<tree.SEQ object at 0x7f9116e5a3b0>, 'C')]",20,1.2,0.5,5,60,0.1,0.07949598749221053,1.82,3.55,0.27,0,3.0,0,156166.0,0.0,25
1690829,0.016586286284837035,[],20,1.2,0.5,5,74,0.1,0.07949598749221053,2.15,4.05,0.25,0,3.0,0,72855.0,0.0,25
553642,0.003552166597165599,"[(<tree.AND object at 0x7f1185786a40>, 'H'), (<tree.AND object at 0x7f11857857e0>, 'Q')]",20,1.2,0.5,5,62,0.1,0.07949598749221053,1.9,3.95,0.27,0,3.0,0,1752208.0,0.0,25
7589591,0.10325395804679044,"[(<tree.SEQ object at 0x7f75920bfee0>, 'W'), (<tree.AND object at 0x7f75920c0880>, 'B')]",20,1.2,0.5,5,30,0.1,0.07949598749221053,0.41,3.95,0.28,0,3.0,0,14114678.0,0.0,25
4589799,5.218891296333687e-07,"[(<tree.SEQ object at 0x7f2bcb83dcf0>, 'K')]",20,1.2,0.5,5,62,0.1,0.07949598749221053,1.67,4.2,0.28,0,3.0,0,5789405230.0,0.0,25
3016255,0.0001253863754014287,[],20,1.2,0.5,5,67,0.1,0.07949598749221053,1.96,3.75,0.25,0,3.0,0,9909179.0,0.0,25
337282,1.0000288679872986,"[(<tree.AND object at 0x7f58bbfdfbb0>, 'K'), (<tree.AND object at 0x7f58bbfdfd90>, 'K')]",20,1.2,0.5,5,22,0.1,0.07949598749221053,0.43,3.95,0.28,0,2.5,0,1372415630.0,0.0,25
6924356,0.010266415998586905,"[(<tree.SEQ object at 0x7f02c9314f40>, 'K')]",20,1.2,0.5,5,70,0.1,0.07949598749221053,2.17,3.5999999999999996,0.3,0,4.0,0,1755506215.0,0.0,25
8084145,0.00012406317108403287,"[(<tree.SEQ object at 0x7f2dcb9a74c0>, 'Y'), (<tree.AND object at 0x7f2dcb9a6d40>, 'E')]",20,1.2,0.5,5,44,0.1,0.07949598749221053,1.0,3.75,0.28,0,3.0,0,536931679.0,0.0,25
9374647,0.01759367263389123,"[(<tree.SEQ object at 0x7f63b50a8430>, 'W'), (<tree.AND object at 0x7f63b50a8c10>, 'R')]",20,1.2,0.5,5,32,0.1,0.07949598749221053,0.67,3.85,0.32,0,3.0,0,21212846672.0,0.0,25
6541567,0.00011880420840955233,"[(<tree.SEQ object at 0x7f7d8c8ef670>, 'G'), (<tree.AND object at 0x7f7d8c8ef970>, 'G'), (<tree.AND object at 0x7f7d8c904e50>, 'H'), (<tree.AND object at 0x7f7d8c8efd90>, 'S')]",20,1.2,0.5,5,29,0.1,0.07949598749221053,0.57,3.5999999999999996,0.36,0,3.0,0,25811653757.0,0.0,25
8421221,0.0003250876642518481,[],20,1.2,0.5,5,60,0.1,0.07949598749221053,1.51,3.5999999999999996,0.28,0,3.0,0,366475355.0,0.0,25
1192051,6.709970122115219e-06,"[(<tree.SEQ object at 0x7f6302999750>, 'G'), (<tree.AND object at 0x7f6302998190>, 'P'), (<tree.SEQ object at 0x7f6302999b70>, 'O'), (<tree.AND object at 0x7f6302998970>, 'E'), (<tree.AND object at 0x7f6302998a90>, 'E')]",20,1.2,0.5,5,33,0.1,0.07949598749221053,0.71,4.4,0.32,0,3.0,0,138930212941679.0,0.0,25
4441431,0.0006968751020579359,"[(<tree.SEQ object at 0x7ff3600c2e90>, 'M'), (<tree.SEQ object at 0x7ff3600c2b30>, 'U')]",20,1.2,0.5,5,19,0.1,0.07949598749221053,0.23,3.9000000000000004,0.51,0,1.5,0,72842716316613.0,0.0,25
6158497,0.003981194971372205,"[(<tree.AND object at 0x7f95e775fa90>, 'H'), (<tree.AND object at 0x7f95e775f610>, 'H'), (<tree.SEQ object at 0x7f95e775f730>, 'H')]",20,1.2,0.5,5,62,0.1,0.07949598749221053,2.07,3.9000000000000004,0.26,0,3.0,0,8517394.0,0.0,25
4055121,2.434698966453292e-05,"[(<tree.AND object at 0x7fd033fc0ac0>, 'P'), (<tree.AND object at 0x7fd033fb7ca0>, 'R'), (<tree.AND object at 0x7fd033fb7dc0>, 'R'), (<tree.AND object at 0x7fd033fc0220>, 'Y'), (<tree.SEQ object at 0x7fd033fc0340>, 'Y')]",20,1.2,0.5,5,25,0.1,0.07949598749221053,0.52,4.300000000000001,0.28,0,2.0,0,4748475638.0,0.0,25
7698059,8.845347407027787e-05,"[(<tree.SEQ object at 0x7f79726dadd0>, 'G'), (<tree.AND object at 0x7f79726db5b0>, 'B')]",20,1.3,0.5,5,46,0.1,0.07949598749221053,0.9,4.1,0.32,0,3.0,0,33100799.0,0.0,25
4396539,0.03472675976047732,"[(<tree.SEQ object at 0x7f423dd1f5b0>, 'H')]",20,1.3,0.5,5,60,0.1,0.07949598749221053,1.67,4.05,0.24,0,3.5,0,35682.0,0.0,25
4095615,0.007261257530872051,"[(<tree.AND object at 0x7f52957eb100>, 'P'), (<tree.SEQ object at 0x7f52957ea680>, 'C'), (<tree.SEQ object at 0x7f52957ea3e0>, 'C'), (<tree.AND object at 0x7f52957e9d80>, 'E'), (<tree.AND object at 0x7f52957eaf20>, 'P')]",20,1.3,0.5,5,40,0.1,0.07949598749221053,0.76,4.15,0.39,0,2.5,0,1401738.0,0.0,25
8883188,0.12476981500182015,"[(<tree.AND object at 0x7fd9bce75de0>, 'U'), (<tree.SEQ object at 0x7fd9bce75fc0>, 'U')]",20,1.3,0.5,5,57,0.1,0.07949598749221053,1.39,3.8,0.29,0,4.0,0,284124.0,0.0,25
1790210,2.430574762974514e-06,"[(<tree.AND object at 0x7f36f9efd480>, 'H')]",20,1.3,0.5,5,73,0.1,0.07949598749221053,2.24,3.8,0.22,0,3.0,0,876352172.0,0.0,25
9831884,0.032662363980474236,[],20,1.3,0.5,5,46,0.1,0.07949598749221053,0.89,4.0,0.19,0,3.0,0,38980.0,0.0,25
5747777,0.012831662395108946,[],20,1.3,0.5,5,74,0.1,0.07949598749221053,1.89,3.5999999999999996,0.25,0,3.0,0,46905.0,0.0,25
9114551,0.8805147211120421,"[(<tree.AND object at 0x7f1fc39a26e0>, 'H')]",20,1.3,0.5,5,55,0.1,0.07949598749221053,1.47,3.75,0.33,0,3.5,0,5191.0,0.0,25
9225396,0.016583653188017335,[],20,1.3,0.5,5,66,0.1,0.07949598749221053,1.82,4.0,0.33,0,3.0,0,208606.0,0.0,25
4598905,0.11321529257290663,[],20,1.3,0.5,5,76,0.1,0.07949598749221053,2.15,4.050000000000001,0.21,0,3.0,0,4924.0,0.0,25
2194085,0.02956829700976008,"[(<tree.SEQ object at 0x7f59dd6cf040>, 'C'), (<tree.AND object at 0x7f59dd6ce200>, 'S')]",20,1.3,0.5,5,39,0.1,0.07949598749221053,1.2,3.7,0.31,0,3.0,0,568316.0,0.0,25
4720246,0.14873410258990138,"[(<tree.AND object at 0x7f51870c7dc0>, 'P'), (<tree.AND object at 0x7f51870c6bc0>, 'B')]",20,1.3,0.5,5,45,0.1,0.07949598749221053,1.03,3.7,0.24,0,3.0,0,45948.0,0.0,25
5473049,0.09312716476720137,[],20,1.3,0.5,5,74,0.1,0.07949598749221053,2.05,4.0,0.21,0,4.0,0,5719.0,0.0,25
4354850,0.6033296665869423,[],20,1.3,0.5,5,74,0.1,0.07949598749221053,2.81,4.199999999999999,0.21,0,4.0,0,11948.0,0.0,25
310197,0.001404443946266442,[],20,1.3,0.5,5,70,0.1,0.07949598749221053,1.84,3.85,0.27,0,4.0,0,412777.0,0.0,25
4546945,0.0037539027266374684,[],20,1.3,0.5,5,54,0.1,0.07949598749221053,1.3,3.85,0.29,0,3.0,0,1045489.0,0.0,25
2619372,0.27206879023739294,"[(<tree.SEQ object at 0x7f7fbd891120>, 'U'), (<tree.AND object at 0x7f7fbd890d60>, 'E')]",20,1.3,0.5,5,55,0.1,0.07949598749221053,1.7,3.5999999999999996,0.27,0,3.0,0,44985.0,0.0,25
1030251,2.589138194306702e-05,[],20,1.3,0.5,5,68,0.1,0.07949598749221053,1.55,4.199999999999999,0.26,0,4.0,0,48025240.0,0.0,25
1819616,0.02271948719823171,"[(<tree.SEQ object at 0x7ff1dc210820>, 'G')]",20,1.3,0.5,5,32,0.1,0.07949598749221053,0.52,3.95,0.24,0,4.0,0,525310.0,0.0,25
7691016,0.21673086890923857,"[(<tree.SEQ object at 0x7f3be96d27d0>, 'G'), (<tree.SEQ object at 0x7f3be96d3c10>, 'O')]",20,1.3,0.5,5,21,0.1,0.07949598749221053,0.28,4.05,0.24,0,2.0,0,1392405.0,0.0,25
