ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents,exact_costs,TransmissionRatioOperatorPlacement,TransmissionRatioCentral,PushPullTime,MaxPushPullLatency
8199317,0.6004179936305732,50240.0,30165.0,[],50,1.3,0.1,10,10,0.1,0.08573032003033286,0.01,3.38,1.44,5,0.5,50240.0,0.0,10,3,12562.650165081552,0.41646445102209684,0.2500527501011455,5.636352062225342,11
7654958,0.8002786624203821,50240.0,40206.0,"[(<tree.AND object at 0x7ff3b1c6b580>, 'F')]",50,1.3,0.1,10,12,0.1,0.08412392094195643,0.08,3.38,1.59,5,1.5,50240.0,0.0,10,3,,,,,
1802847,0.8002388535031847,50240.0,40204.0,[],50,1.3,0.1,10,14,0.1,0.07324953973356055,0.15,3.38,1.61,5,1.5,50240.0,0.0,10,3,20116.812832486634,0.5003684417591939,0.40041426816255243,12.847058057785034,13
1715992,0.8002985668789809,50240.0,40207.0,[],50,1.3,0.1,10,10,0.1,0.07877764587835709,0.03,3.38,1.47,5,0.5,50240.0,0.0,10,3,18645.461670735986,0.4637367043235254,0.37112781987929905,5.6256890296936035,13
839911,0.77078025477707,50240.0,38724.0,[],50,1.3,0.1,10,13,0.1,0.08080904053240996,0.05,3.38,1.57,5,1.5,50240.0,0.0,10,3,18192.1877444071,0.4697910273837181,0.3621056477788037,13.28594422340393,13
6544436,1.000079617834395,50240.0,50244.0,[],50,1.3,0.1,10,16,0.1,0.07979847508708357,0.15,3.38,1.59,5,1.5,50240.0,0.0,10,3,29842.164250582788,0.5939448342206589,0.5939921228221097,13.333834648132324,15
3943509,0.800218949044586,50240.0,40203.0,"[(<tree.AND object at 0x7f6815b4a920>, 'J')]",50,1.3,0.1,10,10,0.1,0.08299491101641729,0.03,3.38,1.44,5,1.5,50240.0,0.0,10,3,12970.704473067879,0.32263026324075017,0.25817485018049124,5.467931509017944,13
3656300,0.8804140127388536,50240.0,44232.0,"[(<tree.AND object at 0x7f61870febc0>, 'J')]",50,1.3,0.1,10,10,0.1,0.06966946040786132,0.09,3.38,1.47,5,1.5,50240.0,0.0,10,3,21587.07817193684,0.48804210010709076,0.429679103740781,12.471508741378784,13
6302094,0.6003980891719746,50240.0,30164.0,[],50,1.3,0.1,10,10,0.1,0.09344490767463703,0.04,3.38,1.49,5,0.5,50240.0,0.0,10,3,9713.596061460594,0.32202612589380036,0.19334387065009143,2.708300828933716,11
3898346,0.8055003616788065,50240.0,40468.338170743235,"[(<tree.SEQ object at 0x7f585043bcd0>, 'J')]",50,1.3,0.1,10,14,0.1,0.06910295375420071,0.06,3.38,1.81,5,1.5,50240.0,0.0,10,3,,,,,
4292201,0.801041878987268,50240.0,40244.34400032034,[],50,1.3,0.1,10,14,0.1,0.07972299487997664,0.07,3.38,1.76,5,2.5,50240.0,0.0,10,3,20257.521025372862,0.5033631813009951,0.40321498856235793,11.529896259307861,13
7609945,0.6003980891719746,50240.0,30164.0,[],50,1.3,0.1,10,14,0.1,0.08219396430866623,0.04,3.38,1.5,5,0.5,50240.0,0.0,10,3,7037.6355213233755,0.23331240953863464,0.1400803248671054,13.504663467407227,11
2547074,0.7799164012738854,50240.0,39183.0,[],50,1.3,0.1,10,14,0.1,0.0842174219658326,0.05,3.38,1.57,5,1.5,50240.0,0.0,10,3,13607.016133610588,0.3472683595847839,0.2708402892836502,5.052388429641724,13
908550,0.800218949044586,50240.0,40203.0,"[(<tree.AND object at 0x7f60a139a8c0>, 'J')]",50,1.3,0.1,10,10,0.1,0.06458370523187643,0.09,3.38,1.48,5,1.0,50240.0,0.0,10,3,19481.469070579245,0.4845774959724211,0.3877680945577079,7.495857238769531,13
4711061,0.800218949044586,50240.0,40203.0,"[(<tree.AND object at 0x7f187b2fafb0>, 'H')]",50,1.3,0.1,10,10,0.1,0.09440864387899515,0.04,3.38,1.47,5,1.0,50240.0,0.0,10,3,25279.761315607637,0.6288028583838927,0.5031799624921902,10.776750326156616,13
2282040,0.600418322526668,47810.0,28706.0,[],50,1.3,0.1,10,10,0.1,0.06851037468573792,0.04,3.38,1.4,5,0.5,47810.0,0.0,10,3,12552.686270871789,0.4372844099098373,0.2625535718651284,2.357886552810669,11
4403866,0.7553343949044586,50240.0,37948.0,[],50,1.3,0.1,10,12,0.1,0.09246360635980033,0.03,3.38,1.49,5,0.5,50240.0,0.0,10,3,25898.873162449105,0.6824832181524482,0.5155030486156271,9.842620611190796,13
9464365,0.8002786624203821,50240.0,40206.0,"[(<tree.AND object at 0x7fd8738b4820>, 'H')]",50,1.3,0.1,10,11,0.1,0.0794998091639529,0.03,3.38,1.45,5,1.0,50240.0,0.0,10,3,18601.415638592796,0.4626527294083668,0.3702511074560668,5.5334086418151855,13
