ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
3610242,1.0,[],100,1.7,0.5,1,1,0.1,0.5491568373918188,0.17,16.46,0.36,0,0.5,0,1654.0,1.452938331318017,7
8440698,1.0,[],100,1.7,0.5,1,1,0.1,0.5404926225661499,0.12,11.24,0.26,0,0.5,0,63693.0,1.54130218391346,7
5832146,1.0,[],100,1.7,0.5,1,1,0.1,0.09657985180695196,0.18,16.02,0.52,0,0.5,0,46469.0,0.0,7
3201217,1.0,[],100,1.7,0.5,1,2,0.1,0.07051369667954219,0.33,18.77,0.7,0,0.5,0,71559.0,0.26754705907013787,7
2650689,1.0,[],100,1.7,0.5,1,3,0.1,0.06599829567334817,0.52,15.14,0.39,0,0.5,0,5821.0,0.0,7
6738936,0.3119385975655631,[],100,1.7,0.5,1,8,0.1,0.0722464812042583,0.91,21.84,4.6,0,2.0,0,38314.0,0.16815785352612622,7
1925477,1.0,[],100,1.7,0.5,1,1,0.1,0.06887576188035804,0.15,12.85,0.3,0,0.5,0,33240.0,1.4029076413959085,7
5214600,1.0,[],100,1.7,0.5,1,1,0.1,1.0,0.2,14.36,0.31,0,0.5,0,18252.0,1.3343502081963619,7
4282530,0.7571679344645992,[],100,1.8,0.5,1,1,0.1,1.0,0.15,14.07,5.67,0,0.0,0,23926.0,0.13113809245172617,7
1879649,1.0,[],100,1.8,0.5,1,2,0.1,0.060532020866132415,0.26,11.879999999999999,0.38,0,0.5,0,2653.0,1.5583264229174518,7
4578596,1.0,[],100,1.8,0.5,1,1,0.1,0.07999283296952248,0.19,14.84,0.3,0,0.5,0,3434.0,1.4952358765288294,7
406094,1.0,[],100,1.8,0.5,1,3,0.1,0.5480723397911095,0.49,16.13,0.3,0,0.5,0,3954.0,1.4237152250885179,7
2004697,1.0,[],100,1.8,0.5,1,3,0.1,0.06717868665463311,0.41,13.89,0.39,0,0.5,0,1938.0,1.4477708978328174,7
3286359,1.0,[],100,1.8,0.5,1,4,0.1,0.06623620969187463,0.45,15.79,0.43,0,0.5,0,3636.0,1.376630913091309,7
4740082,1.0,[],100,1.8,0.5,1,2,0.1,0.052986694998498396,0.27,14.38,0.28,0,0.5,0,2764.0,1.259030390738061,7
8471487,1.0,[],100,1.8,0.5,1,1,0.1,0.0471504946000596,0.14,18.97,0.32,0,0.5,0,2162.0,1.3161424606845513,7
9279390,1.0,[],100,1.8,0.5,1,1,0.1,0.06529989422752572,0.14,12.715,0.29,0,0.5,0,5104.0,1.474780564263323,7
735356,0.600074794315632,[],100,1.8,0.5,1,1,0.1,0.5426409973758802,0.19,16.4,6.21,0,0.0,0,13370.0,0.12266267763649961,7
9296247,1.0,[],100,1.8,0.5,1,1,0.1,1.0,0.16,16.53,0.32,0,0.5,0,1735.0,1.5053256484149857,7
2316879,1.0,[],100,1.8,0.5,1,2,0.1,0.08097423844723539,0.29,11.39,0.34,0,0.5,0,2697.0,1.507686318131257,7
858836,0.7408402001177163,[],100,1.8,0.5,1,1,0.1,0.07162632760624307,0.2,12.844999999999999,6.22,0,0.0,0,27184.0,0.1091522586815774,7
7431784,1.0,[],100,1.8,0.5,1,1,0.1,0.04559437695865648,0.16,16.94,0.36,0,0.5,0,2367.0,1.4671313899450782,7
7212027,1.0,[],100,1.8,0.5,1,1,0.1,0.043389657982395954,0.13,14.14,0.27,0,0.5,0,2348.0,1.3730494037478707,7
7803511,1.0,[],100,1.8,0.5,1,2,0.1,0.06719817437600242,0.28,15.51,0.37,0,0.5,0,3578.0,1.543197316936836,7
7960345,1.0,[],100,1.8,0.5,1,3,0.1,0.06030471577750468,0.62,15.71,0.37,0,0.5,0,2216.0,1.396601985559567,7
63714,1.0,[],100,1.8,0.5,1,2,0.1,0.06337077398086649,0.26,14.11,0.31,0,0.5,0,1483.0,1.4462036412677004,7
6174903,0.512931293129313,[],100,1.8,0.5,1,1,0.1,0.08710268681778162,0.15,14.45,6.58,0,0.0,0,16665.0,0.09017701770177017,7
5847405,0.6280055945720747,[],100,1.8,0.5,1,1,0.1,0.05558011917948595,0.17,19.225,9.86,0,0.0,0,67208.0,0.14331218009760743,7
633363,1.0,[],100,1.8,0.5,1,2,0.1,0.05459179247345272,0.37,14.21,0.4,0,0.5,0,2359.0,1.5059347181008902,7
8881370,1.0,[],100,1.8,0.5,1,1,0.1,0.06916598899962582,0.19,15.56,0.28,0,0.5,0,5564.0,1.5325089863407622,7
265111,1.0,[],100,1.8,0.5,1,2,0.1,0.5164984541503341,0.34,14.85,0.41,0,0.5,0,12466.0,1.5307436226536177,7
1733213,1.0,[],100,1.8,0.5,1,2,0.1,0.05313810857097919,0.28,13.26,0.31,0,0.5,0,1143.0,1.5893438320209974,7
7275287,0.4226082447498056,[],100,1.8,0.5,1,1,0.1,0.057583550119264706,0.16,19.11,6.29,0,0.0,0,19285.0,0.09711070780399274,7
2366865,1.0,[],100,1.8,0.5,1,2,0.1,0.07820523520609585,0.38,15.059999999999999,0.34,0,0.5,0,16503.0,1.4692237774950008,7
6738198,0.4884575445323109,[],100,1.8,0.5,1,1,0.1,0.09397504571151545,0.19,16.79,6.68,0,0.0,0,37557.0,0.09298719280027691,7
2067637,1.0,[],100,1.8,0.5,1,2,0.1,0.060899706179781264,0.44,14.100000000000001,0.31,0,0.5,0,1354.0,1.6141063515509602,7
9853005,1.0,[],100,1.8,0.5,1,1,0.1,0.055140715369693546,0.13,14.739999999999998,0.3,0,0.5,0,11341.0,1.3464985451018427,7
9082802,0.07089275999132401,[],100,1.8,0.5,1,2,0.1,0.0636827069646858,0.28,14.61,0.49,0,1.0,0,182969.0,0.018046007793669966,7
5366419,1.0,[],100,1.8,0.5,1,1,0.1,0.05530876910033739,0.15,14.895,0.35,0,0.5,0,10790.0,1.5723266913809082,7
3318376,0.2468742001657925,[],100,1.9,0.5,1,1,0.1,0.04634854339202389,0.25,13.625,6.19,0,0.0,0,261773.0,0.03862029315475622,7
4020142,0.9258941344778254,[],100,1.9,0.5,1,1,0.1,1.0,0.13,14.06,7.49,0,0.0,0,10485.0,0.15286981402002864,7
8284525,1.0,[],100,1.9,0.5,1,2,0.1,0.058774689583526635,0.3,14.350000000000001,0.31,0,0.5,0,1414.0,1.4715346534653466,7
2331369,1.0,[],100,1.9,0.5,1,4,0.1,0.08768266940294364,0.48,17.32,0.4,0,0.5,0,3082.0,1.3768332251784554,7
8994043,1.0,[],100,1.9,0.5,1,1,0.1,0.09569013815197895,0.14,16.29,0.34,0,0.5,0,1573.0,1.6362492053401143,7
2849235,0.46124567474048445,[],100,1.9,0.5,1,4,0.1,0.04343857497569878,0.64,12.65,9.02,0,0.0,0,28900.0,0.06478200692041523,7
6463083,1.0,[],100,1.9,0.5,1,1,0.1,0.08587692817964697,0.16,12.11,0.26,0,0.5,0,6194.0,1.4350565062964158,7
5428160,1.0,[],100,1.9,0.5,1,1,0.1,0.5302458372181501,0.2,16.990000000000002,0.31,0,0.5,0,4180.0,1.4998349282296652,7
953233,1.0,[],100,1.9,0.5,1,2,0.1,0.5470026853537912,0.26,13.965,0.32,0,0.5,0,2063.0,1.5298545807077073,7
2079185,1.0,[],100,1.9,0.5,1,2,0.1,0.0806296270899025,0.26,11.42,0.24,0,0.5,0,2576.0,1.6934937888198756,7
3953840,1.0,[],100,1.9,0.5,1,1,0.1,0.5251841080529044,0.15,12.54,0.4,0,0.5,0,14495.0,1.40842497412901,7
2664348,1.0,[],100,1.9,0.5,1,2,0.1,0.062161841687625806,0.25,13.78,0.37,0,0.5,0,3637.0,1.4587022271102557,7
8945313,1.0,[],100,1.9,0.5,1,1,0.1,0.5487528885659675,0.13,11.629999999999999,0.35,0,0.5,0,1562.0,1.4816709346991037,7
2765447,0.004618995358097091,[],100,1.9,0.5,1,1,0.1,1.0,0.2,13.34,6.12,0,0.0,0,7202865.0,0.0007222959197486001,7
9897261,1.0,[],100,1.9,0.5,1,1,0.1,0.5341713328077796,0.14,13.530000000000001,0.3,0,0.5,0,2432.0,1.5299136513157896,7
1366088,1.0,[],100,1.9,0.5,1,2,0.1,0.5424277129411625,0.31,13.1,0.42,0,0.5,0,2552.0,1.4424373040752352,7
9461414,0.9704124024723882,[],100,1.9,0.5,1,1,0.1,0.07170729121153785,0.18,19.59,7.23,0,0.0,0,9869.0,0.2064403688316952,7
750821,1.0,[],100,1.9,0.5,1,1,0.1,0.5466305158289219,0.19,18.35,0.35,0,0.5,0,2217.0,1.3077582318448355,7
7199163,1.0,[],100,1.9,0.5,1,1,0.1,0.07593692777124314,0.19,12.055,0.38,0,0.5,0,2165.0,1.464418013856813,7
7098718,1.0,[],100,1.9,0.5,1,1,0.1,0.07659485594714036,0.16,16.25,0.45,0,0.5,0,11943.0,1.564724106170979,7
3821909,1.0,[],100,1.9,0.5,1,1,0.1,0.07183043547317904,0.14,15.74,0.31,0,0.5,0,2443.0,1.3465656979124028,7
6368523,1.0,[],100,1.9,0.5,1,1,0.1,1.0,0.17,15.86,0.32,0,0.5,0,1830.0,1.222,7
8130647,1.0,[],100,1.9,0.5,1,1,0.1,0.07463947685651774,0.17,15.309999999999999,0.29,0,0.5,0,8148.0,1.3134131075110456,7
4533153,1.0,[],100,1.9,0.5,1,2,0.1,0.08456072733709538,0.36,13.665,0.36,0,0.5,0,2607.0,1.237031070195627,7
9225907,1.0,[],100,1.9,0.5,1,2,0.1,1.0,0.33,15.06,0.35,0,0.5,0,4575.0,1.5603147540983608,7
5726180,1.0,[],100,1.9,0.5,1,2,0.1,0.07644741250840813,0.42,14.27,0.45,0,0.5,0,5021.0,1.4068213503286198,7
5471936,1.0,[],100,1.9,0.5,1,2,0.1,0.07662365481333136,0.27,16.29,0.38,0,0.5,0,1808.0,1.4415929203539821,7
5640025,1.0,[],100,1.9,0.5,1,1,0.1,0.05891109507503043,0.18,12.785,0.4,0,0.5,0,4342.0,1.3633014739751266,7
1538851,0.9750169479945359,[],100,1.9,0.5,1,4,0.1,0.06692716731528109,0.73,14.79,4.38,0,1.5,0,11597.0,0.2423126670690696,7
9300038,0.5606376811594203,[],100,1.9,0.5,1,1,0.1,0.053700215173842755,0.17,15.15,7.05,0,0.0,0,17250.0,0.09748695652173914,7
5121237,1.0,[],100,1.9,0.5,1,2,0.1,0.04778381465992163,0.24,13.46,0.33,0,0.5,0,1365.0,1.5185641025641026,7
2779370,1.0,[],100,1.9,0.5,1,1,0.1,0.09348705262777242,0.18,13.33,0.38,0,0.5,0,9849.0,1.5307371306731647,7
6442174,1.238187420687955e-13,[],100,1.1,0.5,1,1,0.1,1.0,0.14,18.39,6.94,0,0.0,0,4.5282159278316616e+18,2.737656330345573e-14,7
1600115,0.2446725916619479,[],100,1.1,0.5,1,1,0.1,0.08370744004883998,0.17,14.54,9.81,0,0.0,0,2712576.0,0.038615013920347295,7
9779773,0.009629642605100651,[],100,1.1,0.5,1,1,0.1,0.07890367869927184,0.18,14.649999999999999,6.87,0,0.0,0,7535586.0,0.001531957833139984,7
1931,1.0,[],100,1.1,0.5,1,1,0.1,1.0,0.16,13.76,0.34,0,0.5,0,71829.0,1.4739094237703434,7
1779575,1.0,[],100,1.1,0.5,1,1,0.1,0.07679699647633367,0.22,15.975,0.42,0,0.5,0,172386.0,1.4354573457241306,7
1830614,0.0033286777020721595,[],100,1.1,0.5,1,1,0.1,0.09390576773042433,0.17,14.254999999999999,6.85,0,0.0,0,605691180238.0,0.0005630439138159409,7
3274744,0.025962712685816607,[],100,1.1,0.5,1,1,0.1,0.04346677999718054,0.17,15.5,6.7,0,0.0,0,1103419136.0,0.004618903038491441,7
5244600,0.011647124975526153,[],100,1.1,0.5,1,1,0.1,0.05488850238392009,0.13,12.82,8.86,0,0.0,0,42662889.0,0.001903037086869574,7
9934446,0.8024928631890705,[],100,1.1,0.5,1,1,0.1,0.07181962970788204,0.16,12.665,6.31,0,0.0,0,532801.0,0.13456537243736405,7
5229815,1.0,[],100,1.1,0.5,1,1,0.1,0.5456673700018,0.18,13.18,0.46,0,0.5,0,22861.0,1.5399055159441843,7
7261620,1.0,[],100,1.1,0.5,1,1,0.1,0.08259352605944267,0.15,15.055,0.31,0,0.5,0,450659655.0,1.5891253174637963,7
9864091,0.07215703846362366,[],100,1.1,0.5,1,1,0.1,0.5489772373715562,0.17,18.44,6.81,0,0.0,0,11140812.0,0.01618099650187078,7
9017130,0.0002237466791523365,[],100,1.1,0.5,1,1,0.1,0.06082360222869168,0.15,14.08,9.89,0,0.0,0,4237144451.0,3.696164759335461e-05,7
3373172,0.8551683788502878,[],100,1.1,0.5,1,1,0.1,0.07708573418787754,0.19,14.855,6.38,0,0.0,0,937058958.0,0.1394860940276076,7
2960019,1.0,[],100,1.1,0.5,1,1,0.1,0.5493897687557765,0.19,13.24,0.36,0,0.5,0,4645864.0,1.4028313183511185,7
1471190,0.01569061913191562,[],100,1.1,0.5,1,1,0.1,0.09119501583433642,0.14,15.8,6.36,0,0.0,0,751959620.0,0.0032419895100218284,7
2643785,0.6513063945873014,[],100,1.1,0.5,1,1,0.1,0.06394862502833976,0.18,16.47,6.64,0,0.0,0,101539.0,0.13365583667359338,7
4558065,4.201448696776343e-07,[],100,1.1,0.5,1,1,0.1,0.07967346607634772,0.19,14.36,6.53,0,0.0,0,66423134052339.0,6.215130705436246e-08,7
1218465,0.18647025732761777,[],100,1.1,0.5,1,1,0.1,0.05385695456116894,0.16,14.25,6.31,0,0.0,0,25644819657986.0,0.029816778770703236,7
5090895,1.0,[],100,1.1,0.5,1,1,0.1,0.06270918871367134,0.16,13.21,0.46,0,0.5,0,57748.0,1.500158966544296,7
8220403,1.0,[],100,1.1,0.5,1,1,0.1,0.052563497092186676,0.17,13.81,0.38,0,0.5,0,8960721950362.0,1.434876126121749,7
4753863,0.06267499002616575,[],100,1.1,0.5,1,1,0.1,0.09535396312335764,0.14,11.879999999999999,9.24,0,0.0,0,46882672.0,0.009049114777417122,7
4757139,0.011667438723788991,[],100,1.1,0.5,1,1,0.1,0.08487272494170345,0.13,11.845,5.14,0,0.0,0,23885499444860.0,0.001679787824655017,7
2188791,1.573887670508858e-12,[],100,1.1,0.5,1,2,0.1,0.04105044426459372,0.36,18.67,7.66,0,0.0,0,5697992409522168.0,3.407656347093711e-13,7
1670895,0.3068604824197673,[],100,1.1,0.5,1,1,0.1,0.07155861238244725,0.23,16.28,6.22,0,0.0,0,23363033573.0,0.06159369540362387,7
6302036,0.002977468210574652,[],100,1.1,0.5,1,1,0.1,0.06731059580947815,0.17,17.86,6.06,0,0.0,0,10409515.0,0.0005833509053976097,7
2826105,0.14014578629650512,[],100,1.1,0.5,1,1,0.1,0.05963412520382524,0.17,12.245000000000001,6.58,0,0.0,0,3453411.0,0.019051420465157495,7
8988144,2.8692493395469304e-07,[],100,1.1,0.5,1,1,0.1,0.07871700304200477,0.15,13.24,8.58,0,0.0,0,5.107243053632257e+18,4.7429608087322866e-08,7
2109404,0.0003988867513272996,[],100,1.1,0.5,1,1,0.1,0.5420628876282304,0.14,16.73,6.45,0,0.0,0,14349115334.0,7.835369385706828e-05,7
2525595,1.6786234097986655e-09,[],100,1.1,0.5,1,1,0.1,0.09239628261313393,0.13,14.125,6.16,0,0.0,0,1265340389989412.0,2.909971916751042e-10,7
